AMOUNT,APPTXNMOD,AUTH_CODE_AC,BANK_NAME_2H,CARD_TYPE_CT,DATE_TIME_DT,INVOICE_IN,LAST4CARDNO,MRCHNT_ID_MID,PMS_MODULE,PMS_NUMBER,PMS_SYSTEM_DT,RESP_CODE_RC,RETRIEVAL_REF_NUM_RRN,SERVICE_PROVIDER_2H,TERM_ID_TID,TRANSAC_TYPE,ZONE
61,877529784316614585,,NQRD,QRD,2025-02-10,,0000,RJT,LT BOOKING,3001197642,2025-02-10,S,540794704883,Master,QRD,RECPT,8
2679,762995550460407119,-,NQRD,QRD,2025-02-10,-,0000,ST,PWB BOOKING,2022275707,2025-02-10,S,540794963213,Master,QRD,RECPT,8
6159,740801967124308582,,NQRD,QRD,2025-02-12,,0000,DDR,MR,8000444427,2025-02-12,S,540904531772,-,QRD,RECPT,8
1427,180100583591775068,-,NQRD,QRD,2025-02-12,-,0000,ADI,PWB BOOKING,2022292456,2025-02-12,S,540904728070,Master,QRD,RECPT,8
1260,963059036169423942,-,NQRD,QRD,2025-02-12,-,0000,BRC,PWB BOOKING,2022290903,2025-02-12,S,540904816278,Master,QRD,RECPT,8
32,343818803290871008,,NQRD,QRD,2025-02-12,,0000,ADI,LT BOOKING,3001200402,2025-02-12,S,540905520232,Master,QRD,RECPT,8
365,484200491754674776,-,NQRD,QRD,2025-02-12,-,0000,OKHA,PWB BOOKING,1008663141,2025-02-12,S,540906115044,Master,QRD,RECPT,8
483,465294327440385003,-,NQRD,QRD,2025-02-12,-,0000,BL,PWB DELIVERY,9000442448,2025-02-12,S,540906717379,Master,QRD,RECPT,8
6159,237101497801302671,,NQRD,QRD,2025-02-12,,0000,DDR,MR,8000444490,2025-02-12,S,540907715419,-,QRD,RECPT,8
84,650511365223706761,-,NQRD,QRD,2025-02-12,-,0000,ST,PWB DELIVERY,9000440169,2025-02-12,S,540908482359,Master,QRD,RECPT,8
55,29648361690221800,,NQRD,QRD,2025-02-12,,0000,BRC,LT BOOKING,3001200142,2025-02-12,S,540962806611,Master,QRD,RECPT,8
212,511182149863505054,,NQRD,QRD,2025-02-12,,0000,BDTS,LT BOOKING,3001200531,2025-02-12,S,540964133791,Master,QRD,RECPT,8
6,241579475433385257,-,NQRD,QRD,2025-02-12,-,0000,DDR,PWB BOOKING,1008662933,2025-02-12,S,540964203943,Master,QRD,RECPT,8
135,627768224544554708,-,NQRD,QRD,2025-02-12,-,0000,ST,PWB BOOKING,2022290446,2025-02-12,S,540965012077,Master,QRD,RECPT,8
289,412370286628934344,-,NQRD,QRD,2025-02-12,-,0000,BL,PWB BOOKING,1008665002,2025-02-12,S,540965036957,Master,QRD,RECPT,8
1575,192751718880499339,-,NQRD,QRD,2025-02-12,-,0000,BRC,PWB BOOKING,2022294356,2025-02-12,S,540965629217,Master,QRD,RECPT,8
40,97727813297037853,,NQRD,QRD,2025-02-12,,0000,BL,LT BOOKING,4002161477,2025-02-12,S,540965646620,Master,QRD,RECPT,8
362,255916165466353400,-,NQRD,QRD,2025-02-08,-,0000,UJN,PWB BOOKING,2022261376,2025-02-08,S,551587404024,Master,QRD,RECPT,8
119,980734537184373702,-,NQRD,QRD,2025-02-08,-,0000,OKHA,PWB BOOKING,1008649895,2025-02-08,S,592900184227,Master,QRD,RECPT,8
285,424852709764949360,-,NQRD,QRD,2025-02-08,-,0000,INDB,PWB BOOKING,2022260053,2025-02-08,S,593374377560,Master,QRD,RECPT,8
